Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
36,No,Travel_Rarely,922,Research & Development,3,2,1,Female,3,1,Laboratory Technician,4,Divorced,5,No,22,4,1,1,7,2,3,1,0,0,0
43,No,Travel_Frequently,394,Sales,26,2,3,Male,3,4,Manager,4,Married,1,Yes,12,3,4,2,25,3,4,25,12,4,12
30,No,Travel_Frequently,1312,Research & Development,23,3,1,Male,1,1,Research Scientist,3,Divorced,1,No,25,4,3,3,10,2,2,10,7,0,9
33,No,Non-Travel,750,Sales,22,2,3,Male,3,2,Sales Executive,2,Married,0,No,13,3,1,1,8,2,4,7,7,0,7
56,Yes,Travel_Rarely,441,Research & Development,14,4,2,Female,3,1,Research Scientist,2,Married,9,Yes,18,3,1,3,7,2,3,5,4,4,3
51,No,Travel_Rarely,684,Research & Development,6,3,1,Male,3,5,Research Director,3,Single,7,No,13,3,3,0,23,5,3,20,18,15,15
31,Yes,Travel_Rarely,249,Sales,6,4,2,Male,1,2,Sales Executive,3,Married,4,Yes,18,3,2,0,12,3,2,7,7,7,7
26,No,Travel_Rarely,841,Research & Development,6,3,3,Female,2,1,Research Scientist,2,Married,1,No,19,3,3,0,5,3,2,5,4,4,3
58,Yes,Travel_Rarely,147,Research & Development,23,4,4,Female,3,3,Healthcare Representative,4,Married,1,No,12,3,4,1,40,3,2,40,10,15,6
19,Yes,Travel_Rarely,528,Sales,22,1,4,Male,3,1,Sales Representative,3,Single,1,Yes,19,3,4,0,0,2,2,0,0,0,0
22,No,Travel_Rarely,594,Research & Development,2,1,3,Male,3,1,Laboratory Technician,4,Married,0,No,14,3,3,1,3,2,3,2,1,2,1
49,No,Travel_Rarely,470,Research & Development,20,4,3,Female,3,2,Manufacturing Director,1,Married,1,No,14,3,3,0,16,2,2,15,11,5,11
43,No,Travel_Frequently,957,Research & Development,28,3,2,Female,4,1,Research Scientist,3,Single,4,No,12,3,4,0,18,2,3,3,2,1,2
50,No,Travel_Frequently,809,Sales,12,3,3,Female,3,3,Sales Executive,4,Single,4,No,11,3,4,0,16,3,3,2,2,2,1
31,Yes,Travel_Rarely,542,Sales,20,3,2,Female,1,2,Sales Executive,3,Married,3,Yes,11,3,3,1,4,2,3,2,2,2,2
41,No,Travel_Rarely,802,Sales,9,1,3,Male,3,3,Sales Executive,3,Divorced,3,Yes,13,3,3,1,12,2,3,9,7,0,7
26,No,Travel_Rarely,1355,Human Resources,25,1,3,Female,3,1,Human Resources,3,Married,1,No,23,4,4,1,8,3,3,8,7,5,7
36,No,Travel_Rarely,216,Research & Development,6,2,2,Male,3,2,Manufacturing Director,2,Divorced,6,No,20,4,4,2,7,0,3,3,2,0,1
51,Yes,Travel_Frequently,1150,Research & Development,8,4,1,Male,1,3,Manufacturing Director,4,Single,2,No,15,3,4,0,18,2,3,4,2,0,3
39,No,Travel_Rarely,1329,Sales,4,4,4,Female,2,2,Sales Executive,3,Married,4,No,14,3,3,1,17,1,4,15,11,5,9
25,No,Travel_Rarely,959,Sales,28,3,1,Male,2,2,Sales Executive,3,Married,2,No,18,3,4,0,6,3,3,2,2,2,2
30,No,Travel_Rarely,1240,Human Resources,9,3,3,Male,3,2,Human Resources,4,Married,0,Yes,19,3,4,0,12,2,1,11,9,4,7
32,Yes,Travel_Rarely,1033,Research & Development,9,3,1,Female,3,1,Laboratory Technician,1,Single,7,No,22,4,1,0,10,2,4,5,4,0,4
45,No,Travel_Rarely,1316,Research & Development,29,3,3,Male,3,1,Research Scientist,4,Single,5,No,13,3,2,0,9,2,2,6,5,0,3
38,No,Travel_Rarely,364,Research & Development,3,5,4,Female,3,2,Research Scientist,3,Single,3,Yes,20,4,2,0,19,2,3,3,2,2,2
30,No,Travel_Rarely,438,Research & Development,18,3,1,Female,3,1,Research Scientist,3,Single,1,No,14,3,3,0,5,4,2,5,4,0,4
32,No,Travel_Frequently,689,Sales,9,2,4,Male,1,2,Sales Executive,4,Divorced,0,No,17,3,4,3,9,2,4,8,7,0,7
30,No,Travel_Rarely,201,Research & Development,5,3,4,Female,3,1,Research Scientist,1,Divorced,5,No,14,3,4,1,8,3,3,3,2,2,2
30,No,Travel_Rarely,1427,Research & Development,2,1,2,Male,2,1,Laboratory Technician,4,Single,0,No,13,3,4,0,6,3,3,5,3,1,2
41,No,Travel_Frequently,857,Research & Development,10,3,4,Male,2,4,Manager,1,Divorced,4,No,13,3,2,1,21,2,2,7,6,7,7
41,No,Travel_Rarely,933,Research & Development,9,4,3,Male,3,1,Laboratory Technician,1,Married,2,No,21,4,4,1,7,2,3,5,0,1,4
19,No,Travel_Rarely,1181,Research & Development,3,1,2,Female,3,1,Laboratory Technician,2,Single,1,No,14,3,4,0,1,3,3,1,0,0,0
40,No,Travel_Frequently,1395,Research & Development,26,3,2,Female,3,2,Research Scientist,2,Divorced,1,No,11,3,1,1,20,2,3,20,7,2,13
35,No,Travel_Rarely,662,Sales,1,5,3,Male,3,3,Sales Executive,2,Married,1,No,13,3,1,2,10,3,3,10,8,0,6
53,No,Travel_Rarely,1436,Sales,6,2,2,Male,3,2,Sales Representative,3,Married,2,Yes,20,4,4,1,13,3,1,7,7,4,5
45,No,Travel_Rarely,194,Research & Development,9,3,2,Male,3,2,Laboratory Technician,2,Divorced,8,No,18,3,3,1,20,2,1,17,9,0,15
32,No,Travel_Frequently,967,Sales,8,3,2,Female,3,3,Sales Executive,4,Single,1,No,14,3,4,0,9,2,3,9,8,3,7
29,No,Non-Travel,1496,Research & Development,1,1,4,Male,3,2,Manufacturing Director,3,Married,1,No,13,3,1,1,10,1,3,10,7,0,9
51,No,Travel_Rarely,1169,Research & Development,7,4,2,Male,2,2,Manufacturing Director,3,Married,2,No,17,3,3,0,10,2,3,1,0,0,0
58,No,Travel_Rarely,1145,Research & Development,9,3,2,Female,2,1,Research Scientist,2,Married,4,Yes,20,4,2,1,9,3,2,1,0,0,0
40,No,Travel_Rarely,630,Sales,4,4,3,Male,2,3,Sales Executive,4,Married,7,No,11,3,1,1,15,2,2,12,11,2,11
34,No,Travel_Frequently,303,Sales,2,4,3,Female,3,1,Sales Representative,3,Married,6,No,18,3,4,1,6,3,3,4,3,1,2
22,No,Travel_Rarely,1256,Research & Development,19,1,3,Male,3,1,Research Scientist,4,Married,1,No,24,4,1,2,2,6,3,2,2,2,2
27,No,Non-Travel,691,Research & Development,9,3,4,Male,3,1,Research Scientist,2,Divorced,6,No,18,3,4,1,6,1,1,2,2,2,2
28,No,Travel_Rarely,440,Research & Development,21,3,3,Male,3,1,Research Scientist,4,Married,1,No,11,3,3,1,5,2,1,5,2,0,2
57,No,Travel_Rarely,334,Research & Development,24,2,3,Male,4,3,Healthcare Representative,4,Divorced,3,Yes,16,3,2,1,12,2,1,5,3,1,4
27,No,Non-Travel,1450,Research & Development,3,3,3,Male,2,1,Research Scientist,3,Divorced,1,Yes,15,3,4,1,1,2,2,1,1,0,1
50,No,Travel_Rarely,1452,Research & Development,11,3,3,Female,3,5,Manager,2,Single,3,No,15,3,2,0,21,5,3,5,4,4,4
41,No,Travel_Rarely,465,Research & Development,14,3,1,Male,3,1,Research Scientist,3,Divorced,4,No,12,3,1,1,13,2,3,9,8,1,8
30,No,Travel_Rarely,1339,Sales,5,3,2,Female,3,3,Sales Executive,4,Married,2,No,12,3,3,1,12,2,3,10,9,7,4
38,No,Travel_Rarely,702,Sales,1,4,1,Female,2,2,Sales Executive,4,Single,4,No,22,4,3,0,12,2,4,8,3,0,7
32,No,Travel_Rarely,120,Research & Development,6,5,3,Male,3,1,Research Scientist,3,Single,3,No,20,4,1,0,8,2,3,5,4,1,4
27,No,Travel_Rarely,1157,Research & Development,17,3,3,Male,3,1,Research Scientist,2,Married,0,Yes,16,3,4,1,6,3,2,5,2,1,1
19,Yes,Travel_Frequently,602,Sales,1,1,3,Female,1,1,Sales Representative,1,Single,0,No,21,4,1,0,1,5,4,0,0,0,0
36,No,Travel_Frequently,1480,Research & Development,3,2,4,Male,3,1,Laboratory Technician,2,Single,4,No,12,3,3,0,13,3,2,8,7,7,2
30,No,Non-Travel,111,Research & Development,9,3,3,Male,3,2,Laboratory Technician,1,Divorced,1,No,11,3,3,2,12,4,3,12,9,6,10
45,No,Travel_Rarely,1268,Sales,4,2,3,Female,3,2,Sales Executive,1,Divorced,4,Yes,11,3,1,1,9,3,4,5,4,0,3
56,No,Travel_Rarely,713,Research & Development,8,3,3,Female,3,1,Research Scientist,1,Divorced,4,Yes,18,3,3,1,19,3,3,2,2,2,2
33,No,Travel_Rarely,134,Research & Development,2,3,3,Male,3,1,Research Scientist,4,Single,0,No,14,3,1,0,4,2,4,3,1,0,2
19,Yes,Travel_Rarely,303,Research & Development,2,3,2,Male,2,1,Laboratory Technician,4,Single,1,No,22,4,3,0,1,3,2,1,0,1,0
46,No,Travel_Rarely,526,Sales,1,2,2,Female,3,3,Sales Executive,1,Divorced,1,No,25,4,3,3,24,2,3,24,13,15,7
38,No,Travel_Rarely,1380,Research & Development,9,2,3,Female,3,1,Laboratory Technician,4,Single,1,No,12,3,3,0,2,3,3,2,2,2,1
31,No,Travel_Rarely,140,Research & Development,12,1,3,Female,3,1,Research Scientist,4,Married,8,Yes,23,4,3,1,7,0,3,4,2,0,2
34,No,Travel_Rarely,629,Research & Development,27,2,4,Female,3,1,Research Scientist,2,Single,2,No,15,3,4,0,9,3,3,3,2,1,2
41,Yes,Travel_Rarely,1356,Sales,20,2,2,Female,3,1,Sales Representative,2,Single,1,Yes,22,4,4,0,4,5,2,4,3,0,2
50,No,Travel_Rarely,328,Research & Development,1,3,3,Male,2,1,Laboratory Technician,3,Married,2,No,15,3,4,1,5,2,2,3,2,0,2
